ISO_code,Cname,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,Antigua and Barbuda,,,,48,73,69,80,89,95,95,89,87,99,99,91,93,99,93,99,99,95,97,99,99,97,99,99,99,99,99,98,99,98,98
ARG,Argentina,61,77,67,67,79,54,87,80,87,89,93,99,92,95,96,99,99,93,95,97,91,89,95,97,99,99,97,94,96,99,98,95,94,91
BRB,Barbados,41,47,53,55,84,88,84,85,84,85,87,92,90,92,97,92,99,92,97,86,94,93,91,90,98,93,92,75,94,94,85,93,90,90
BLZ,Belize,21,40,51,43,43,49,85,53,59,71,86,76,69,80,82,83,81,85,84,82,96,94,88,96,97,95,99,96,96,97,98,98,96,99
BOL,Bolivia (Plurinational State of),13,17,15,13,20,21,55,57,58,59,53,54,57,57,64,58,61,51,65,79,84,88,91,96,90,89,88,86,92,93,88,96,96,95
BRA,Brazil,57,73,66,68,73,67,67,64,62,60,78,85,91,85,77,87,80,99,95,99,99,99,96,99,99,99,99,99,99,99,99,99,99,99
CAN,Canada,,,,,,,,70,85,87,89,92,94,96,97,96,97,96,96,96,96,95,95,95,94,94,94,94,95,96,97,98,98,95
CHL,Chile,94,95,96,95,94,92,91,92,95,92,97,99,89,94,96,97,93,96,98,94,97,96,95,96,94,90,91,92,96,93,93,91,90,90
COL,Colombia,13,26,28,43,51,51,45,59,74,81,82,78,74,94,84,95,90,80,78,79,88,93,93,93,94,96,95,93,95,89,88,88,94,92
CRI,Costa Rica,60,79,87,84,76,78,90,93,97,77,90,96,92,89,87,91,84,99,83,88,82,82,94,89,88,89,90,90,89,81,83,83,90,91
CUB,Cuba,48,49,55,94,82,85,80,99,89,98,94,99,99,96,99,99,99,96,99,96,94,96,98,99,99,98,96,97,98,99,99,99,99,99
DMA,Dominica,,,43,63,85,93,97,87,90,88,88,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,97,96,99,99,99,99,99,93
ECU,Ecuador,24,31,45,34,54,51,50,47,53,57,60,54,69,85,83,81,79,77,89,99,99,99,99,99,99,93,97,98,98,97,95,94,96,97
SLV,El Salvador,45,44,43,46,41,71,51,48,63,73,98,54,55,86,80,93,94,98,99,94,97,95,93,90,93,99,98,99,95,91,92,89,93,94
GRD,Grenada,,,5,7,31,49,62,77,48,89,85,96,73,99,87,88,85,92,97,94,92,99,96,99,74,99,98,98,99,98,95,95,94,94
GTM,Guatemala,23,8,12,9,24,23,55,24,55,60,68,49,59,71,66,83,69,74,79,83,86,91,92,94,95,93,95,86,96,92,93,89,93,85
GUY,Guyana,,,68,51,56,40,42,52,55,69,73,76,73,92,83,77,91,82,93,87,86,92,93,89,88,92,90,96,95,97,95,98,99,99
HTI,Haiti,,,3,6,8,21,26,23,59,31,31,35,39,44,48,49,50,52,53,54,55,55,56,57,57,58,59,60,62,63,64,65,65,65
HND,Honduras,31,34,48,49,44,53,60,57,76,94,90,86,89,94,93,89,91,89,98,98,98,99,97,95,92,96,97,96,95,99,98,95,93,89
JAM,Jamaica,,,12,15,60,64,36,62,68,71,74,77,63,80,82,90,96,88,88,82,88,85,86,78,86,84,87,76,88,88,89,88,93,94
MEX,Mexico,35,33,37,23,21,64,60,54,70,85,75,89,88,79,90,90,93,91,96,94,96,95,96,96,96,96,96,96,96,96,95,98,99,89
NIC,Nicaragua,15,20,40,41,56,59,51,47,63,63,82,54,83,84,84,85,85,86,91,87,86,99,98,93,84,96,99,99,99,99,99,99,99,99
PAN,Panama,71,76,64,85,72,84,74,78,73,73,73,80,76,83,84,84,90,92,96,90,97,95,95,95,97,99,95,95,96,96,97,97,98,92
PRY,Paraguay,19,16,26,37,62,48,46,56,63,58,69,74,87,96,76,75,81,61,71,82,92,90,86,91,91,91,91,91,91,91,94,93,91,92
PER,Peru,23,26,32,28,35,53,41,56,52,52,64,74,83,75,75,98,87,91,93,93,97,97,95,95,85,77,93,92,92,91,94,96,94,85
KNA,Saint Kitts and Nevis,,,,,85,91,96,91,77,90,99,99,99,99,99,99,99,97,99,99,99,90,99,98,98,99,99,99,99,99,99,99,95,99
LCA,Saint Lucia,,,43,36,60,68,91,81,83,91,82,97,75,94,92,94,95,95,90,95,88,89,98,90,95,94,94,94,99,99,95,91,99,99
VCT,Saint Vincent and the Grenadines,,,40,59,92,74,88,91,97,99,96,99,99,99,99,99,99,99,99,87,96,98,99,94,99,97,99,99,99,99,99,97,94,99
SUR,Suriname,,39,17,71,75,73,78,70,83,73,65,84,61,61,72,85,87,79,82,85,84,82,73,69,86,91,83,85,86,88,90,85,73,93
TTO,Trinidad and Tobago,,,,,10,32,42,68,72,59,70,93,83,87,86,84,88,88,90,88,90,91,87,88,95,93,89,91,91,94,92,92,85,91
URY,Uruguay,50,55,52,65,66,59,82,88,72,82,97,96,93,90,90,90,89,92,96,99,89,94,95,95,95,95,94,96,95,94,95,95,96,96
VEN,Venezuela (Bolivarian Republic of),50,43,45,42,41,56,48,54,51,50,61,63,61,62,94,47,64,68,92,84,84,98,83,83,80,76,82,87,93,87,79,86,87,85
AFG,Afghanistan,11,,8,9,14,14,14,31,34,22,20,19,22,25,40,41,42,38,31,31,27,37,35,39,48,50,53,55,59,60,62,65,68,75
BHR,Bahrain,45,50,54,59,65,78,78,78,78,85,87,88,87,90,93,95,95,94,99,94,98,98,99,99,99,99,99,99,99,99,99,99,99,99
DJI,Djibouti,,,15,18,20,27,19,22,68,75,85,53,41,41,42,41,41,31,21,23,50,49,62,66,60,65,67,74,73,84,85,84,83,80
EGY,Egypt,41,41,41,41,47,74,78,76,85,86,86,89,89,89,89,89,92,92,98,96,98,97,97,98,97,98,98,97,92,95,96,96,93,96
IRN,Iran (Islamic Republic of),39,48,55,38,38,62,55,55,83,79,85,84,96,96,97,95,99,95,99,99,99,96,99,99,96,94,99,97,98,99,99,99,98,98
IRQ,Iraq,9,10,11,12,25,70,75,91,85,79,75,71,67,63,72,80,82,85,88,90,86,82,77,73,69,69,62,64,76,81,75,77,69,63
